Company;Name;Ref;Review Date;Cocoa_Percent;Company_Location;Rating;Broad_Bean_Origin;Bean_Type
Solstice;Sambirano;1157;2013;70;U.S.A.;3.0;Madagascar;Trinitario
Sprungli (Felchlin);Alto Beni;1057;2013;70;Switzerland;3.0;Bolivia;Criollo
Stella (aka Bernrain);Bahia, Agri-Forestal Plantation, 2010;859;2012;68;Switzerland;2.75;Brazil;Trinitario
Szanto Tibor;Millot Plantation;939;2012;70;Hungary;3.25;Madagascar;
Taza;Alto Beni;785;2011;87;U.S.A.;3.25;Bolivia;
Tejas;Concepcion;801;2012;70;U.S.A.;2.75;Madagascar;
Terroir;Uganda;1323;2014;73;U.S.A.;3.75;Uganda;Forastero
Violet Sky;Moho River Valley;1458;2015;77;U.S.A.;3.0;Belize;Criollo, Trinitario
Zotter;El Ceibo Coop;879;2012;90;Austria;3.25;Bolivia;
A. Morin;Bolivia;797;2012;70;France;3.5;Bolivia;
AMMA;Monte Alegre, 3 diff. plantations;572;2010;85;Brazil;2.75;Brazil;Forastero (Parazinho)
Bahen & Co.;Bahia;999;2012;70;Australia;2.5;Brazil;
Bisou;San Andres, silk;1486;2015;78;U.S.A.;2.5;Costa Rica;
Bonnat;Gabon;1042;2013;75;France;3.25;Gabon;
Brasstown aka It's Chocolate;Maya Mountain;1255;2014;70;U.S.A.;3.75;Belize;Trinitario
Cacao Hunters;Tumaco;1430;2014;70;Colombia;3.5;Colombia;
Castronovo;Bolivia;1101;2013;70;U.S.A.;3.0;Bolivia;Trinitario
Choco Del Sol;Maya Mountain;1407;2014;82;Germany;3.25;Belize;Trinitario
Chocovic;Ocumare;209;2008;71;Spain;3.5;Venezuela;Criollo
Claudio Corallo;Terreiro Velho P.;227;2008;75;Sao Tome;4.0;Sao Tome & Principe;Forastero
Coppeneur;Uba Budo;821;2012;72;Germany;3.75;Sao Tome & Principe;Forastero
Coppeneur;Jamaica;558;2010;72;Germany;3.25;Jamaica;Trinitario
Cote d' Or (Kraft);Sensations Intense;48;2006;70;Belgium;1.0;;
Cravve;New Ireland;1283;2014;70;Australia;2.5;Papua New Guinea;Forastero
Cravve;Djual Island;975;2012;75;Australia;3.5;Papua New Guinea;Forastero
Danta;Los Ujuxtes;1223;2014;82;Guatemala;3.25;Guatemala;
Domori;Ocumare 61, Puertomar;129;2007;75;Italy;3.25;Venezuela;Criollo (Ocumare 61)
Domori;Sur del Lago Classificado;87;2006;70;Italy;3.0;Venezuela;Trinitario
Duffy's;Indio Rojo, Xoco;623;2011;72;U.K.;3.75;Honduras;Criollo
El Rey;Carenero Superior, Gran Saman;32;2006;70;Venezuela;2.75;Venezuela;Criollo
Fresco;Carenero Superior, #203, MR, SC;370;2009;65;U.S.A.;3.5;Venezuela;Criollo
Georgia Ramon;Conacado Coop;1646;2015;70;Germany;3.5;Domincan Republic;Trinitario
Georgia Ramon;Akesson P.;1646;2015;75;Germany;3.5;Madagascar;Trinitario
Guittard;Chucuri;15;2006;65;U.S.A.;3.0;Colombia;Trinitario
Haigh;South America and Africa;701;2011;70;Australia;3.0;South America, Africa;
Heirloom Cacao Preservation (Manoa);Maunawili, O'ahu, Agri Research C., 2015;1744;2016;72;U.S.A.;3.5;Hawaii;
hexx;Tanzania;1546;2015;70;U.S.A.;2.75;Tanzania;
Holy Cacao;Camino Verde P., Balao, Guayas;1466;2015;70;Israel;3.5;Ecuador;
Laia aka Chat-Noir;Sao Tome, Batch 151;1638;2015;75;France;3.5;Sao Tome;Forastero
Lindt & Sprungli;Excellence (US Version);157;2007;85;Switzerland;3.0;;
Lonohana;Hawaiian Crown, Kona Vanilla;1097;2013;70;U.S.A.;3.5;Hawaii;
Marigold's Finest;Cacao Nib Crunch;1808;2016;75;Canada;3.25;;
Nanea;Criollo Blend;1007;2013;85;U.S.A.;3.5;Hawaii;
Nibble;Ambanja, Sambirano Valley;1526;2015;72;U.S.A.;3.0;Madagascar;Trinitario
Noble Bean aka Jerjobo;Moho Valley;1299;2014;75;U.S.A.;3.0;Belize;Trinitario
Obolo;Pangoa, w/ nibs;1638;2015;70;Chile;3.75;Peru;Criollo
Parliament;Oko Caribe;1255;2014;70;U.S.A.;3.5;Dominican Republic;
Pralus;Claudio Corallo w/ nibs;162;2007;75;France;4.0;Sao Tome;Forastero
Pura Delizia;Venezuela;931;2012;73;Italy;2.75;Venezuela;
Q Chocolate;Brazil;935;2012;60;Brazil;3.0;Brazil;
Ranger;Tumbes, Batch 2;1562;2015;73;U.S.A.;3.5;Peru;Criollo
Ritual;Costa Rica;745;2011;75;U.S.A.;3.5;Costa Rica;
Santome;Sao Tome;761;2011;70;France;2.75;Sao Tome;Forastero
Smooth Chocolator, The;Porcelana, Sorotaima,Machiques,batch pcl001;1740;2016;70;Australia;4.0;Ecuador;Criollo
Smooth Chocolator, The;Australia;1864;2016;67;Australia;3.75;Australia;
Smooth Chocolator, The;San Juan Estate;1622;2015;70;Australia;3.75;Trinidad;Trinitario
Sol Cacao;Ecuador, Batch 1;1812;2016;70;U.S.A.;3.5;Ecuador;
Soma;Sambirano Valley, Black Science, B-60307.0;1820;2016;70;Canada;3.5;Madagascar;Trinitario
Soma;Chuao;688;2011;70;Canada;3.5;Venezuela;Criollo
Spencer;Ecuador, lot E432314L;1792;2016;70;Australia;3.75;Ecuador;
Starchild;Bolivar, Arriba;1634;2015;70;U.S.A.;3.0;Ecuador;Forastero (Nacional)
Tejas;San Jose;971;2012;67;U.S.A.;3.25;Bolivia;
Tejas;Aranama;805;2012;70;U.S.A.;3.0;Papua New Guinea;
The Barn;Peru;1614;2015;70;Sweden;3.0;Peru;
Theo;Ghana, Kumasi;184;2007;84;U.S.A.;3.0;Ghana;Forastero
twenty-four blackbirds;Oko Caribe;1700;2015;75;U.S.A.;2.75;Domincan Republic;
A. Morin;Equateur;1011;2013;70;France;3.75;Ecuador;
Aequare (Gianduja);Los Rios, Quevedo, Arriba;370;2009;55;Ecuador;2.75;Ecuador;Forastero (Arriba)
Amano;Guayas;470;2010;70;U.S.A.;4.0;Ecuador;
Artisan du Chocolat;Ocumare, Venezuela;355;2009;75;U.K.;2.5;Venezuela;Criollo, Trinitario
Askinosie;Xoconusco;141;2007;75;U.S.A.;2.5;Mexico;Trinitario
Beehive;Ecuador, Batch 31516;1784;2016;70;U.S.A.;2.75;Ecuador;
Bittersweet Origins;Ankasa;256;2008;70;U.S.A.;3.0;Ghana;Forastero
Cacaoyere (Ecuatoriana);Bolivar;245;2008;82;Ecuador;2.5;Ecuador;Forastero (Arriba)
Cao;Tanzania;1804;2016;73;U.S.A.;2.75;Tanzania;
Chocolate Con Amor;Nicaragua;1768;2016;80;U.S.A.;2.75;Nicaragua;
Chocolate Makers;Tres Hombres;1530;2015;75;Amsterdam;3.25;Dominican Republic;Trinitario
Chocovivo;Tabasco;1522;2015;75;U.S.A.;2.5;Mexico;Trinitario
Christopher Morel (Felchlin);Maranon Canyon, Fortunato No. 4;666;2011;68;Canada;3.75;Peru;Forastero (Nacional)
Compania de Chocolate (Salgado);Moxos;292;2008;72;Argentina;3.25;Bolivia;
Dick Taylor;Ecuador;769;2011;70;U.S.A.;3.25;Ecuador;
Domori;Canoabo, Hacienda San Jose;693;2011;70;Italy;3.5;Venezuela;Criollo
El Rey;Carenero Superior, Bucare;206;2008;58;Venezuela;2.5;Venezuela;Criollo
Ethereal;Belize;1275;2014;80;U.S.A.;3.0;Belize;Trinitario
Fossa;Kokoa Kamili Coop, Kilombero;1776;2016;67;Singapore;3.75;Tanzania;Trinitario
Fresco;Maranon, #230, DR, LC;1387;2014;70;U.S.A.;3.5;Peru;Forastero (Nacional)
Fresco;Markham Valley, #222, LR, 0C;931;2012;69;U.S.A.;3.0;Papua New Guinea;Trinitario
Fresco;Ghana, #211, MR, MC;636;2011;74;U.S.A.;2.75;Ghana;Forastero
Friis Holm (Bonnat);La Dalia;1259;2014;70;Denmark;3.5;Nicaragua;
Friis Holm (Bonnat);Nicaliso, Xoco;623;2011;70;Denmark;3.5;Nicaragua;Criollo, Trinitario
Glennmade;Bahia;1672;2015;66;U.S.A.;3.0;Brazil;Trinitario, Forastero
Hotel Chocolat (Coppeneur);Los Rios, H. Iara;1065;2013;90;U.K.;3.0;Ecuador;Forastero (Nacional)
Hummingbird;Momotombo;1311;2014;70;Canada;3.0;Nicaragua;Trinitario
Isidro;Peru;1279;2014;72;U.S.A.;2.25;Peru;
Jacque Torres;Trinatario Treasure;5;2006;71;U.S.A.;2.0;Ghana;Trinitario
Kah Kow;Rizek Cacao, Domin. Rep.;1069;2013;82;Domincan Republic;3.0;Dominican Republic;
Ki' Xocolatl;Dark;431;2009;72;Mexico;2.0;Mexico;
Madre;Chiapas, Triple Cacao;607;2010;72;U.S.A.;2.75;Mexico;
Manufaktura Czekolady;Grand Cru Ghana;871;2012;70;Poland;3.5;Ghana;Forastero
Maverick;Tumbes;1430;2014;82;U.S.A.;3.25;Peru;Criollo
Moho;Umoho R., Toledo District, San Felipe;607;2010;67;U.S.A.;2.75;Belize;Trinitario
Naive;Chuao;1399;2014;75;Lithuania;2.75;Venezuela;Trinitario
organicfair;Nicaraqua;1165;2013;72;Canada;2.75;Nicaragua;Trinitario
Original Beans (Felchlin);Alto Beni, Wild Harvest, Itenez R. 24hr c.;733;2011;66;Switzerland;3.75;Bolivia;
Palette de Bine;Duo- Gran Couva & Camino Verde;1399;2014;75;Canada;3.5;Trinidad, Ecuador;Blend
Pierre Marcolini;Sambirano, Ambanja, Madagascar;141;2007;72;Belgium;4.0;Madagascar;Trinitario
Pitch Dark;"Camino Verde P., Balao, Guayas, ""Floral""";1319;2014;73;U.S.A.;3.5;Ecuador;
Pump Street Bakery;Guantupi River;1223;2014;75;U.K.;3.0;Ecuador;Forastero (Nacional)
Pump Street Bakery;Guantupi River;1227;2014;85;U.K.;2.75;Ecuador;Forastero (Nacional)
Santander;Colombian;32;2006;65;Colombia;3.0;Colombia;Forastero (Nacional)
Seaforth;Grenada;1658;2015;70;U.K.;2.75;Grenada;
Sirene;Lachua w/ cane sugar;1614;2015;73;Canada;3.0;Guatemala;
Sirene;Somia Plantation, 2012;1502;2015;100;Canada;3.0;Madagascar;Trinitario
Soma;Conacado;387;2009;70;Canada;3.0;Dominican Republic;Trinitario
Szanto Tibor;Ambolikapiky;1704;2015;70;Hungary;3.25;Madagascar;Trinitario
Tablette (aka Vanillabeans);Vietnam;1450;2015;60;Japan;3.25;Vietnam;Trinitario
Taza;Chiapan;451;2009;75;U.S.A.;2.75;Mexico;
TCHO;TCHOPro 68;387;2009;68;U.S.A.;3.0;;
Terroir;Peru;1478;2015;70;U.S.A.;2.75;Peru;
Tsara (Cinagra);Ambanja, Tsara Valley;753;2011;72;Madagascar;3.5;Madagascar;
twenty-four blackbirds;Dominican Republic;1022;2013;68;U.S.A.;3.25;Dominican Republic;
Vintage Plantations;San Martin;1205;2014;75;U.S.A.;3.0;Peru;
Alain Ducasse;Madagascar;1215;2014;75;France;3.0;Madagascar;Trinitario
Altus aka Cao Artisan;Sur del Lago;1125;2013;60;U.S.A.;2.5;Venezuela;
Amatller (Simon Coll);Ghana;322;2009;70;Spain;3.0;Ghana;Forastero
Amedei;Toscano Black;75;2006;66;Italy;4.0;;Blend
Artisan du Chocolat;Dominican Republic;363;2009;72;U.K.;3.25;Dominican Republic;Trinitario
Beehive;Brazil, Batch 20316;1784;2016;80;U.S.A.;2.75;Brazil;
Beschle (Felchlin);Ecuador;636;2011;72;Switzerland;4.0;Ecuador;
Brasstown aka It's Chocolate;Chuao, Mantuano blend;1129;2013;85;U.S.A.;3.5;Venezuela;Trinitario
Cacao de Origen;Chuao, Aragua region;1395;2014;70;Venezuela;3.75;Venezuela;Trinitario
Cacao Hunters;Perla Negra;1816;2016;74;Colombia;3.75;Colombia;
Cacao Sampaka;Madagascar;508;2010;71;Spain;3.5;Madagascar;Trinitario
Cacaosuyo (Theobroma Inversiones);Piura;1173;2013;70;Peru;3.25;Peru;
C-Amaro;Lago di Como, Blu;1442;2014;70;Italy;3.5;;Blend
Chocolate Con Amor;Ocumare;1764;2016;80;U.S.A.;3.0;Venezuela;Criollo (Ocumare)
Choklat;Brazilian;377;2009;80;Canada;3.0;Brazil;
Daintree;Daintree Estates, N. Queensland;785;2011;70;Australia;3.25;Australia;
Dandelion;Papua New Guinea;1153;2013;70;U.S.A.;3.5;Papua New Guinea;
Dandelion;Colombian;805;2012;70;U.S.A.;3.25;Colombia;
Danta;Las Acacias E.;987;2012;70;Guatemala;4.0;Guatemala;Criollo
Dick Taylor;Bolivia;895;2012;75;U.S.A.;2.75;Bolivia;
Feitoria Cacao;Maya Mountain;1736;2016;76;Portugal;2.75;Belize;Trinitario
Felchlin;Alto Beni, Cru Savage;56;2006;68;Switzerland;4.0;Bolivia;Criollo (Wild)
Felchlin;Supremo- SF;105;2006;62;Switzerland;2.0;;
Franceschi;Ocumare;1355;2014;70;Venezuela;3.75;Venezuela;
Guittard;Epique, Blend No. 49;1602;2015;70;U.S.A.;3.75;;
Harper Macaw;Brazil Blend;1696;2015;67;U.S.A.;3.0;Brazil;
Heirloom Cacao Preservation (Guittard);Maunawili, O'ahu, Agri Research C., 2014;1243;2014;67;U.S.A.;3.75;Hawaii;
Hummingbird;Amazonas;1097;2013;70;Canada;3.75;Venezuela;Forastero
Jordis;Madagascar;1534;2015;63;Czechoslovakia;2.75;Madagascar;Trinitario
Kallari (Ecuatoriana);Diego/ original micro;248;2008;85;Ecuador;2.5;Ecuador;
L.A. Burdick (Felchlin);Brazil;891;2012;70;U.S.A.;4.0;Brazil;
Matale;Malekula P., 2013;1177;2013;72;Australia;3.5;Vanuatu;Trinitario
Meadowlands;Nicaragua, w/ inbs;1291;2014;70;U.S.A.;3.0;Nicaragua;
Mesocacao;Honduras;1347;2014;70;Honduras;3.5;Honduras;
Neuhaus (Callebaut);Dark;135;2007;73;Belgium;1.0;;
Ocho;Sang Yum Coop;1760;2016;70;New Zealand;3.5;Samoa;
Palette de Bine;Silvestre, La Paz, Beni;1570;2015;70;Canada;3.25;Bolivia;
Palette de Bine;Alto Beni, Palos Blancos;1239;2014;72;Canada;2.75;Bolivia;
Palette de Bine;Sambirano;1239;2014;78;Canada;3.75;Madagascar;Trinitario
Paul Young;Madagascar, w/ shell;1271;2014;73;U.K.;2.25;Madagascar;Trinitario
Pierre Marcolini;Kendem Lembu, Java;93;2006;72;Belgium;3.0;Indonesia;Criollo
Pralus;Dominican Republic-Organic;280;2008;75;France;2.0;Dominican Republic;
Pump Street Bakery;Patanemo Vil., Carabobo State, Tisano family;1223;2014;75;U.K.;2.75;Venezuela;Trinitario
Rococo (Grenada Chocolate Co.);Gru Grococo, St. Andrews;923;2012;66;U.K.;3.5;Grenada;Trinitario
Rozsavolgyi;Carenero Superior;713;2011;73;Hungary;3.5;Venezuela;Criollo
Scharffen Berger;San Juan de Cheni;959;2012;78;U.S.A.;4.0;Peru;
Scharffen Berger;Jamaica a l'ancienne;56;2006;70;U.S.A.;2.0;Jamaica;Trinitario
Sirene;Camino Verde P., Balao, Guayas, 2012;1506;2015;100;Canada;3.0;Ecuador;
Smooth Chocolator, The;Tien Giang;1864;2016;70;Australia;3.0;Vietnam;Trinitario
Solstice;Amazonas;1157;2013;70;U.S.A.;3.0;Venezuela;
Soma;La Dalia;1307;2014;70;Canada;3.25;Nicaragua;Trinitario
Timo A. Meyer;Belize, med roast;1836;2016;72;Germany;3.75;Belize;Trinitario, TCGA
Valrhona;Alpaco;370;2009;66;France;3.75;Ecuador;
Valrhona;Nyangbo;395;2009;68;France;3.5;Ghana;Forastero
Wellington Chocolate Factory;Piura Blanco, Norandino;1756;2016;70;New Zealand;3.5;Peru;
Woodblock;Ocumare;741;2011;70;U.S.A.;4.0;Venezuela;
Ara;Trincheras;1379;2014;75;France;3.0;Venezuela;
Arete;Camino Verde;1602;2015;75;U.S.A.;3.5;Ecuador;
Artisan du Chocolat;Panama;745;2011;72;U.K.;2.75;Panama;
Beschle (Felchlin);Maracaibo;636;2011;88;Switzerland;3.0;Venezuela;Criollo
Bonnat;Kaori;1339;2014;75;France;4.0;Brazil;
Bonnat;Los Colorados, Santo Domingo, Equateur;1418;2014;75;France;3.25;Dominican Republic;
Bouga Cacao (Tulicorp);El Oro, Hacienda de Oro;316;2009;77;Ecuador;3.25;Ecuador;Forastero (Arriba)
Burnt Fork Bend;Belize;1303;2014;72;U.S.A.;3.25;Belize;Trinitario
Cacao Store;Vietnam;1684;2015;70;Japan;3.5;Vietnam;Trinitario
Chocolate Tree, The;Madagascar;919;2012;72;Scotland;3.25;Madagascar;Criollo
Compania de Chocolate (Salgado);Esmeraldas;296;2008;88;Argentina;2.75;Ecuador;Forastero (Nacional)
Coppeneur;Trinidad;558;2010;72;Germany;3.0;Trinidad;Trinitario
Dark Forest;Bolivia;1708;2016;75;U.S.A.;3.25;Bolivia;
El Ceibo;Alto Beni, Covendo Region;709;2011;75;Bolivia;3.75;Bolivia;
El Ceibo;Alto Beni;252;2008;71;Bolivia;2.75;Bolivia;
Erithaj (A. Morin);Ben Tre;1205;2014;70;France;3.25;Vietnam;Trinitario
Fearless (AMMA);Monte Alegre, D. Badaro, Raw, Organic;565;2010;75;U.S.A.;2.75;Brazil;
Finca;Dominican Republic;1283;2014;70;U.S.A.;3.25;Dominican Republic;
French Broad;Palo Blanco, Chulucanas;883;2012;61;U.S.A.;3.5;Peru;
Fresco;San Martin, Bellavista Coop, #226, DR, MC;1117;2013;70;U.S.A.;3.75;Peru;
Friis Holm (Bonnat);La Dalia;1680;2015;60;Denmark;3.0;Nicaragua;
Fruition;Costa Rica;781;2011;70;U.S.A.;3.0;Costa Rica;
Habitual;Amazonas;1201;2014;80;Canada;3.0;;
Holy Cacao;Ivory Coast;431;2009;70;Israel;2.5;Ivory Coast;
Hummingbird;Zorzal Reserva w/ Charles Kerchner;1387;2014;70;Canada;3.5;Dominican Republic;
Just Good Chocolate;Madagascar;1375;2014;70;U.S.A.;3.5;Madagascar;Trinitario
Kallari (Ecuatoriana);Sisa's Secret/ original micro;241;2008;70;Ecuador;3.5;Ecuador;
Kyya;Ecuador;1363;2014;72;U.S.A.;2.5;Ecuador;
Laia aka Chat-Noir;Lam Dong, Batch 153;1642;2015;75;France;3.75;Vietnam;Trinitario
Letterpress;Maranura;1371;2014;70;U.S.A.;3.5;Peru;Forastero (Nacional)
Lillie Belle;Bolivia, Wild Thing;903;2012;68;U.S.A.;3.5;Bolivia;Criollo
Malmo;Chuao;1856;2016;70;Sweden;3.0;Venezuela;
Mana;Ecuador;1446;2015;74;U.S.A.;2.5;Ecuador;
Mana;Venezuela;1219;2014;74;U.S.A.;2.75;Venezuela;
Manoa;Oahu, Winward, #151, Maunawili district;1007;2012;72;U.S.A.;3.25;Hawaii;
Map Chocolate;Maranon, 2014;1474;2015;62;U.S.A.;3.5;Peru;Forastero (Nacional)
Mast Brothers;Shake Shack;959;2012;73;U.S.A.;3.5;Peru, Mad., Dom. Rep.;Blend
Mast Brothers;Conacado;777;2011;73;U.S.A.;3.25;Dominican Republic;
Michel Cluizel;Carenero Superior, Concepcion;117;2007;66;France;3.5;Venezuela;Trinitario
Momotombo;Mombacho;661;2011;70;Nicaragua;2.75;Nicaragua;
Obolo;Pangoa;1638;2015;70;Chile;3.75;Peru;Criollo
Olivia;Carribean;688;2011;76;Canada;2.75;Carribean;
organicfair;La Red;1165;2013;72;Canada;2.75;Dominican Republic;
Original Hawaiin Chocolate Factory;Hawai'i, Kona Estate Grown;24;2006;60;U.S.A.;3.0;Hawaii;
Park 75;South America;1363;2014;65;U.S.A.;3.5;South America;
Patric;Madagascar;331;2009;75;U.S.A.;4.0;Madagascar;Trinitario
Patric;Piura, Choc. Garage Exclusive;1034;2013;67;U.S.A.;4.0;Peru;
Potomac;Upala, Batch 18;654;2011;70;U.S.A.;3.0;Costa Rica;Matina
Raaka;La Red;785;2011;85;U.S.A.;3.5;Dominican Republic;
Rogue;Jamaica;213;2008;70;U.S.A.;2.75;Jamaica;Trinitario
Solkiki;Castillo, Hispaniola, unroasted;1840;2016;85;U.K.;2.75;Domincan Republic;
Solstice;Bolivia;1161;2013;70;U.S.A.;3.25;Bolivia;
Somerville;Nicaragua;1367;2014;70;U.S.A.;3.25;Nicaragua;
Spencer;Dominican Republic, lot D82R;1792;2016;70;Australia;3.5;Domincan Republic;
StRita Supreme;Samar, East Visayas region;939;2012;65;U.S.A.;2.5;Philippines;
Tabal;Costa Rica;1101;2013;70;U.S.A.;2.75;Costa Rica;
Tejas;Bahia, Floresta Azul,Good Friends Reserve#3;971;2012;70;U.S.A.;3.5;Brazil;Forastero (Parazinho)
Tejas;Bayou Blend;801;2012;70;U.S.A.;3.0;Ecuador, Mad., PNG;Blend
Tejas;Concepcion*;971;2012;80;U.S.A.;3.0;Venezuela;
Tocoti;Venezuela;789;2011;72;U.S.A.;2.75;Venezuela;
Valrhona;Andoa, Grand Cru blend;1145;2013;70;France;3.5;;
Vao Vao (Chocolaterie Robert);Madagascar w/ nibs;404;2009;68;Madagascar;3.0;Madagascar;Trinitario
Vintage Plantations (Tulicorp);Los Rios, Rancho Grande 2004/2007;153;2007;100;U.S.A.;2.0;Ecuador;Forastero (Arriba)
Vintage Plantations (Tulicorp);Los Rios, Rancho Grande 2004/2007;153;2007;90;U.S.A.;2.0;Ecuador;Forastero (Arriba)
Zak's;Peru, Batch 1;1578;2015;70;U.S.A.;3.25;Peru;
A. Morin;Atsane;1676;2015;70;France;3.0;Togo;
Amedei;Piura, Blanco de Criollo;979;2012;70;Italy;3.75;Peru;
Amedei;Madagascar;123;2007;70;Italy;4.0;Madagascar;Trinitario (85% Criollo)
AMMA;Catongo;1065;2013;75;Brazil;3.25;Brazil;Forastero (Catongo)
Anahata;Elvesia;1259;2014;75;U.S.A.;3.0;Dominican Republic;
Askinosie;Cortes;661;2011;70;U.S.A.;3.75;Honduras;Trinitario
Bonnat;Xoconusco, cacao Real;395;2009;75;France;3.0;Mexico;Criollo
Bronx Grrl Chocolate;Dominican Republic;1181;2013;68;U.S.A.;2.75;Dominican Republic;
Burnt Fork Bend;Blend;1303;2014;72;U.S.A.;3.25;;Blend
Cacao Market;Jutiapa, lot 050916D;1860;2016;70;U.S.A.;3.5;Honduras;Trinitario
Caoni (Tulicorp);Los Rios;269;2008;55;Ecuador;3.25;Ecuador;Forastero (Arriba)
Castronovo;Arauca;1371;2014;76;U.S.A.;3.5;Colombia;Criollo, Trinitario
Chequessett;la Amistad;1235;2014;70;U.S.A.;3.5;Costa Rica;
Coppeneur;Ecuador, Puristique;1169;2013;65;Germany;3.25;Ecuador;Forastero (Nacional)
Cravve;Tanzania;971;2012;75;Australia;3.25;Tanzania;Forastero
Davis;West Africa;907;2012;58;U.S.A.;3.25;West Africa;Forastero
Duffy's;Dominican Republic;661;2011;65;U.K.;3.5;Dominican Republic;
